time_ms,accel_x_raw,accel_y_raw,accel_z_raw,uv_raw,accel_valid,uv_valid,uv_new,sensor_error_mask,pump_on,accel_fifo_skipped_total,log_dropped_total
46182,29,-5390,127,0,1,1,0,0,0,0,0
46192,40,-5392,141,0,1,1,0,0,0,0,0
46202,47,-5374,140,0,1,1,0,0,0,0,0
46212,30,-5376,138,0,1,1,0,0,0,0,0
46222,35,-5394,156,0,1,1,0,0,0,0,0
46232,30,-5391,156,0,1,1,0,0,0,0,0
46242,29,-5386,164,0,1,1,0,0,0,0,0
46252,31,-5387,163,0,1,1,0,0,0,0,0
46262,22,-5375,150,0,1,1,0,0,0,0,0
46272,24,-5399,147,0,1,1,0,0,0,0,0
46282,4,-5387,132,0,1,1,0,0,0,0,0
46286,21,-5377,131,0,1,1,0,0,0,0,0
46296,17,-5387,124,0,1,1,0,0,0,0,0
46306,14,-5377,143,0,1,1,0,0,0,0,0
46316,22,-5374,123,0,1,1,0,0,0,0,0
46326,8,-5377,135,0,1,1,0,0,0,0,0
46327,15,-5383,151,0,1,1,0,0,0,0,0
46337,14,-5379,143,0,1,1,0,0,0,0,0
46347,9,-5385,152,0,1,1,1,0,0,0,0
46367,31,-5385,148,0,1,1,0,0,0,0,0
46377,25,-5370,151,0,1,1,0,0,0,0,0
46387,24,-5376,138,0,1,1,0,0,0,0,0
46397,28,-5389,138,0,1,1,0,0,0,0,0
46407,29,-5375,150,0,1,1,0,0,0,0,0
46417,24,-5376,139,0,1,1,0,0,0,0,0
46427,21,-5378,143,0,1,1,0,0,0,0,0
46437,30,-5374,146,0,1,1,0,0,0,0,0
46447,35,-5387,146,0,1,1,0,0,0,0,0
46458,16,-5394,143,0,1,1,0,0,0,0,0
46468,9,-5374,139,0,1,1,0,0,0,0,0
46478,23,-5380,134,0,1,1,0,0,0,0,0
46488,18,-5390,127,0,1,1,0,0,0,0,0
46498,13,-5378,131,0,1,1,0,0,0,0,0
46508,16,-5374,133,0,1,1,0,0,0,0,0
46518,25,-5394,142,0,1,1,0,0,0,0,0
46528,8,-5374,143,0,1,1,0,0,0,0,0
46539,20,-5389,130,0,1,1,0,0,0,0,0
46549,23,-5391,135,0,1,1,0,0,0,0,0
46559,31,-5381,149,0,1,1,0,0,0,0,0
46569,16,-5390,142,0,1,1,0,0,0,0,0
46579,27,-5377,159,0,1,1,0,0,0,0,0
46589,41,-5378,155,0,1,1,0,0,0,0,0
46599,16,-5386,153,0,1,1,0,0,0,0,0
46609,30,-5375,152,0,1,1,0,0,0,0,0
46619,20,-5397,146,0,1,1,0,0,0,0,0
46629,39,-5384,153,0,1,1,0,0,0,0,0
46639,26,-5373,133,0,1,1,0,0,0,0,0
46649,12,-5388,126,0,1,1,0,0,0,0,0
46659,15,-5394,138,0,1,1,0,0,0,0,0
